material_id,composition,G_vrh
mp-16343,Li1 In1 Ge1,33.386
mp-865793,Li1 Sc2 Rh1,30.034
mp-9244,Li2 B2 C2,133.263
mp-20754,Li2 Ce2 Sn4,27.191
mp-865029,Li1 Pa1 Ru2,9.708
mp-4226,Li1 Cr1 S2,40.013
mp-10178,Li1 Mg1 P1,22.303
mp-568466,Li1 In1 Sn1,19.365
mp-961645,Li1 Al1 Ge1,4.56
mp-30765,Li1 Pt7,77.09
mp-7149,Na2 Li1 N1,16.882
mp-551092,K2 Li2 Zn2 O4,29.535
mp-37906,Li1 Mg1 N1,82.964
mp-1437,Li2 Cd2,11.921
mp-861936,Li1 Pd3,37.805
mp-777047,Li1 Tm1 O2,40.168
mp-9158,Li1 Cu1 O2,41.021
mp-7543,Li1 V1 S2,189.536
mp-15795,Li1 Dy1 Se2,24.176
mp-11175,Li1 Zn1 P1 S4,15.461
mp-866150,Li1 Sm2 Os1,31.695
mp-1018134,Li3,4.151
mp-8180,Li2 N2 O6,22.996
mp-10250,Ba1 Li1 F3,42.339
mp-865866,Li1 Zr1 Pt2,27.199
mp-3427,Li4 Al4 O8,52.968
mp-861652,Li1 Lu1 Pt2,41.098
mp-758594,Li1 Fe6 P4,39.307
mp-2744,Li1 Pd1,34.789
mp-28835,Li2 Sc2 I6,10.994
mp-861667,Li1 Sb1 Rh2,13.887
mp-864772,Li1 Sc2 Au1,36.814
mp-23818,Ba1 Li1 H3,38.849
mp-2468815,Li2 Co2 S4,31.703
mp-861665,Li1 Tm1 In2,18.108
mp-862316,Li1 Be1 Pt2,79.648
mp-977418,Li1 Mg1 Au2,18.185
mp-973979,Li1 Fe1 Pd2,34.793
mp-864601,Li1 Mg2 Rh1,29.172
mp-861905,Li1 Bi1 Pd2,15.71
mp-4586,Li2 Al2 Te4,13.523
mp-2927,Li1 Ag2 Sn1,23.975
mp-23703,Li1 H1,42.538
mp-774712,Li2 Cu2 S2,17.871
mp-864930,Li1 Ti1 Ir2,77.224
mp-10616,Ba1 Li1 As1,22.719
mp-864598,Li1 Mg2 Ag1,22.76
mp-37879,Li2 Y2 Se4,30.214
mp-864997,Li1 Si1 Pd2,50.183
mp-974950,Rb3 Li1,1.129
mp-34477,Li2 Sm2 S4,32.154
mp-861663,Li1 Rh2 Pb1,52.058
mp-570213,Li1 Mg1 Bi1,21.657
mp-863697,Li1 Pm2 Si1,30.263
mp-976262,Li3 Mg3,18.66
mp-13276,Sr2 Li2 P2,36.89
mp-8864,Li1 Co6 P4,100.91
mp-977218,Li4 Mg2,7.239
mp-27454,Ba2 Li4 Si2,16.167
mp-30818,Li2 Al1 Pt1,37.313
mp-12411,Li2 Zn1 Ge1,38.377
mp-8181,Li2 Ce1 N2,65.413
mp-7924,Li4 Sn10,18.289
mp-30080,Li2 Ge1 Pd1,22.035
mp-2661453,Li2 H2 Pt1,26.895
mp-9912,Li2 Ce1 P2,35.063
mp-861651,Li2 Pd1 Pb1,20.181
mp-4779,Li8 B16 O28,40.743
mp-27705,Li4 Si2,23.382
mp-866179,Li2 Nd1 Tl1,28.708
mp-5012,Li4 Si2 O6,51.443
mp-4002,Li2 Zr1 F6,35.314
mp-30816,Li2 Al1 Pd1,29.042
mp-4556,Li8 S4 O16,21.273
mp-7779,Li2 Nd1 As2,19.862
mp-865666,Li2 Tl1 Ag1,17.026
mp-1185209,Li8 Zn4 Si4,42.979
mp-22961,Li4 Zn2 Cl8,15.897
mp-31441,Li2 Ga1 Ir1,41.728
mp-10525,Na1 Li2 N1,-24.612
mp-567389,Li2 Zn1 Ge1,25.919
mp-567347,Li2 Ag1 Sn1,20.768
mp-865874,Li2 Ag1 Hg1,9.484
mp-15988,Li2 Cu1 Sb1,33.809
mp-2170,Li2 Pt1,30.516
mp-30820,Li2 Al1 Rh1,39.204
mp-30758,Li2 Mg1 Pb1,14.747
mp-973343,Li2 Mg1 Hg1,18.917
mp-2987,Li2 Mg1 Tl1,14.225
mp-728,Li2 Pd1,21.97
mp-557142,Li4 S2,24.251
mp-752881,Li2 Cu1 S2,16.474
mp-20484,Li2 Fe1 Cu1 C6 N6,-37.207
mp-30591,Li2 Cu1 Sn1,30.448
mp-862934,Li2 Pm1 Tl1,30.085
mp-35841,Li2 Cu1 Ge1,40.226
mp-865871,Li2 Zn1 Au1,4.542
mp-4630,Li4 Ru2 O6,-50.211
mp-865737,Li2 In1 Sn1,14.569
mp-570771,Ba1 Li2 Mg2 Si2,29.927
mp-1960,Li2 O1,68.452
mp-31324,Li4 In2,23.649
mp-1025473,Li4 Nd2 Ge2,27.258
mp-866194,Li2 Mg1 Cd1,20.86
mp-28250,Li2 Mn1 Br4,11.927
mp-15901,Li2 La1 Ta2 O7,69.73
mp-1029385,Li2 Sn1 N2,85.985
mp-30406,Li2 Tl1 Au1,8.488
mp-2988,Li2 Ga1 Rh1,35.873
