material_id,formula_pretty,composition,K_vrh,G_vrh
mp-2468815,LiCoS2,Li2 Co2 S4,80.565,31.703
mp-861665,LiTmIn2,Li1 Tm1 In2,38.577,18.108
mp-862316,LiBePt2,Li1 Be1 Pt2,165.822,79.648
mp-977418,LiMgAu2,Li1 Mg1 Au2,68.967,18.185
mp-973979,LiFePd2,Li1 Fe1 Pd2,119.616,34.793
mp-864601,LiMg2Rh,Li1 Mg2 Rh1,66.418,29.172
mp-861905,LiBiPd2,Li1 Bi1 Pd2,82.613,15.71
mp-4586,LiAlTe2,Li2 Al2 Te4,27.57,13.523
mp-2927,LiAg2Sn,Li1 Ag2 Sn1,59.483,23.975
mp-23703,LiH,Li1 H1,36.35,42.538
mp-774712,LiCuS,Li2 Cu2 S2,53.764,17.871
mp-864930,LiTiIr2,Li1 Ti1 Ir2,190.484,77.224
mp-10616,BaLiAs,Ba1 Li1 As1,34.083,22.719
mp-864598,LiMg2Ag,Li1 Mg2 Ag1,44.769,22.76
mp-37879,LiYSe2,Li2 Y2 Se4,45.569,30.214
mp-864997,LiSiPd2,Li1 Si1 Pd2,139.601,50.183
mp-974950,Rb3Li,Rb3 Li1,3.577,1.129
mp-34477,LiSmS2,Li2 Sm2 S4,50.115,32.154
mp-861663,LiRh2Pb,Li1 Rh2 Pb1,125.906,52.058
mp-570213,LiMgBi,Li1 Mg1 Bi1,31.336,21.657
mp-863697,LiPm2Si,Li1 Pm2 Si1,55.755,30.263
mp-976262,LiMg,Li3 Mg3,25.743,18.66
mp-13276,SrLiP,Sr2 Li2 P2,44.645,36.89
mp-8864,Li(Co3P2)2,Li1 Co6 P4,202.474,100.91
mp-977218,Li2Mg,Li4 Mg2,21.078,7.239
mp-27454,BaLi2Si,Ba2 Li4 Si2,27.21,16.167
mp-30818,Li2AlPt,Li2 Al1 Pt1,84.603,37.313
mp-12411,Li2ZnGe,Li2 Zn1 Ge1,48.483,38.377
mp-8181,Li2CeN2,Li2 Ce1 N2,110.495,65.413
mp-7924,Li2Sn5,Li4 Sn10,41.724,18.289
mp-30080,Li2GePd,Li2 Ge1 Pd1,62.413,22.035
