material_id,composition,E_f
mp-504371,Li2 Ni12 P14 O48,-2.276279496337718
mp-767644,Li1 V1 P2 O8,-2.49920121688492
mp-1185369,Li1 Lu1 In2,-0.4459002358333315
mp-1235374,Sr1 Li1 Al2 B2 O7,-2.9304572095512813
mp-1111111,K2 Li1 Au1 F6,-2.3616039042833328
mp-1176665,Li1 Mn2 Co1 O6,-1.761449712419541
mp-753908,Li4 Mn8 O12 F4,-2.243369774170771
mp-631545,Li1 B1 Br2,0.5467032332638908
mp-738389,Rb16 Li4 S16 O64,-1.990033214133332
mp-35591,Li2 Er2 S4,-2.11467244265625
mp-772524,Li2 Ti4 P6 O24,-2.989252528273809
mp-1178395,Cs4 Li4 O4,-1.532606791829502
mp-1245530,Li4 Ru4 N8,-0.1526520258333334
mp-758531,Li4 Cu4 P4 O16,-2.137181816139455
mp-557793,Rb16 Li4 Zr12 H8 F76,-3.463841987356322
mp-1211661,K2 Li2 Lu4 Mo8 O32,-2.5218201274548613
mp-25843,Li4 Mo8 P12 O48,-2.452451445403438
mp-1195726,Na4 Li4 B8 H40 N8,-0.4195024453466232
mp-727221,Li2 Zn2 Cr6 S12 O48,1.5140213189047629
mp-758570,Li2 V4 C8 O24,-2.020555547543859
mp-1034028,K1 Li1 Mg14 O15,-2.728205543325269
mp-761124,K2 Li2 Mn2 P2 C2 O14,-2.3403292169297685
mp-1212055,Li1 Mo3 O6,0.3665743081666662
mp-1303460,Li4 Co4 C8 O24,-1.7334664838333338
mp-1035484,Li1 Mg14 B1 O15,-2.736681460806452
mp-1096038,Li1 La2 Hg1,1.9262523056249956
mp-859101,Li6 Mn6 P6 O24,-2.586348861796269
mp-1277859,Li2 Mn6 O8,-2.041428060890804
mp-755629,Li2 V2 F8,-3.212257643055556
mp-861059,Li8 Mn8 P8 O32,-2.544034646201032
mp-864824,Li1 Tb1 Au2,-0.7089497049999984
mp-754051,Li2 Fe2 F6,-2.5753200731666666
mp-29431,Li2 Dy4 Br10,-1.704928339166667
