formula,X,B,A,A_w,A_d,A_dw,composition,Tolerance_Factor
Na3O(ClO4)0.125F0.875,Na,O,ClO4,0.125,F,0.875,Na3 Cl0.125 O1.5 F0.875,0.7257340775917716
Na3O(ClO4)0.875(NH2)0.125,Na,O,ClO4,0.875,NH2,0.125,Na3 H0.25 N0.125 Cl0.875 O4.5,0.9740980296614267
Na3O(ClO4)0.75(NH2)0.25,Na,O,ClO4,0.75,NH2,0.25,Na3 H0.5 N0.25 Cl0.75 O4,0.9488963933484764
Na3O(ClO4)0.625(NH2)0.375,Na,O,ClO4,0.625,NH2,0.375,Na3 H0.75 N0.375 Cl0.625 O3.5,0.9236947570355261
Na3O(ClO4)0.5(NH2)0.5,Na,O,ClO4,0.5,NH2,0.5,Na3 H1 N0.5 Cl0.5 O3,0.8984931207225758
Na3O(ClO4)0.375(NH2)0.625,Na,O,ClO4,0.375,NH2,0.625,Na3 H1.25 N0.625 Cl0.375 O2.5,0.8732914844096255
Na3O(ClO4)0.25(NH2)0.75,Na,O,ClO4,0.25,NH2,0.75,Na3 H1.5 N0.75 Cl0.25 O2,0.8480898480966752
Na3O(ClO4)0.125(NH2)0.875,Na,O,ClO4,0.125,NH2,0.875,Na3 H1.75 N0.875 Cl0.125 O1.5,0.822888211783725
Na3OAlCl4,Na,O,AlCl4,1.0,,,Na3 Al1 Cl4 O1,1.1600057526076832
Na3O(AlCl4)0.875I0.125,Na,O,AlCl4,0.875,I,0.125,Na3 Al0.875 I0.125 Cl3.5 O1,1.1326126696588241
Na3O(AlCl4)0.75I0.25,Na,O,AlCl4,0.75,I,0.25,Na3 Al0.75 I0.25 Cl3 O1,1.1052195867099652
Na3O(AlCl4)0.625I0.375,Na,O,AlCl4,0.625,I,0.375,Na3 Al0.625 I0.375 Cl2.5 O1,1.0778265037611061
Na3O(AlCl4)0.5I0.5,Na,O,AlCl4,0.5,I,0.5,Na3 Al0.5 I0.5 Cl2 O1,1.0504334208122472
Na3O(AlCl4)0.375I0.625,Na,O,AlCl4,0.375,I,0.625,Na3 Al0.375 I0.625 Cl1.5 O1,1.023040337863388
Na3O(AlCl4)0.25I0.75,Na,O,AlCl4,0.25,I,0.75,Na3 Al0.25 I0.75 Cl1 O1,0.9956472549145291
Na3O(AlCl4)0.125I0.875,Na,O,AlCl4,0.125,I,0.875,Na3 Al0.125 I0.875 Cl0.5 O1,0.9682541719656701
Na3O(AlCl4)0.875(NO2)0.125,Na,O,AlCl4,0.875,NO2,0.125,Na3 Al0.875 N0.125 Cl3.5 O1.25,1.1223859186912502
Na3O(AlCl4)0.75(NO2)0.25,Na,O,AlCl4,0.75,NO2,0.25,Na3 Al0.75 N0.25 Cl3 O1.5,1.084766084774817
Na3O(AlCl4)0.625(NO2)0.375,Na,O,AlCl4,0.625,NO2,0.375,Na3 Al0.625 N0.375 Cl2.5 O1.75,1.047146250858384
Na3O(AlCl4)0.5(NO2)0.5,Na,O,AlCl4,0.5,NO2,0.5,Na3 Al0.5 N0.5 Cl2 O2,1.009526416941951
Na3O(AlCl4)0.375(NO2)0.625,Na,O,AlCl4,0.375,NO2,0.625,Na3 Al0.375 N0.625 Cl1.5 O2.25,0.9719065830255179
Na3O(AlCl4)0.25(NO2)0.75,Na,O,AlCl4,0.25,NO2,0.75,Na3 Al0.25 N0.75 Cl1 O2.5,0.9342867491090849
Na3O(AlCl4)0.125(NO2)0.875,Na,O,AlCl4,0.125,NO2,0.875,Na3 Al0.125 N0.875 Cl0.5 O2.75,0.8966669151926518
Na3O(AlCl4)0.875(IO4)0.125,Na,O,AlCl4,0.875,IO4,0.125,Na3 Al0.875 I0.125 Cl3.5 O1.5,1.143204661732383
Na3O(AlCl4)0.75(IO4)0.25,Na,O,AlCl4,0.75,IO4,0.25,Na3 Al0.75 I0.25 Cl3 O2,1.1264035708570828
Na3O(AlCl4)0.625(IO4)0.375,Na,O,AlCl4,0.625,IO4,0.375,Na3 Al0.625 I0.375 Cl2.5 O2.5,1.1096024799817825
Na3O(AlCl4)0.5(IO4)0.5,Na,O,AlCl4,0.5,IO4,0.5,Na3 Al0.5 I0.5 Cl2 O3,1.0928013891064825
Na3O(AlCl4)0.375(IO4)0.625,Na,O,AlCl4,0.375,IO4,0.625,Na3 Al0.375 I0.625 Cl1.5 O3.5,1.0760002982311823
Na3O(AlCl4)0.25(IO4)0.75,Na,O,AlCl4,0.25,IO4,0.75,Na3 Al0.25 I0.75 Cl1 O4,1.059199207355882
Na3O(AlCl4)0.125(IO4)0.875,Na,O,AlCl4,0.125,IO4,0.875,Na3 Al0.125 I0.875 Cl0.5 O4.5,1.0423981164805818
Na3O(AlCl4)0.875(CN)0.125,Na,O,AlCl4,0.875,CN,0.125,Na3 Al0.875 C0.125 N0.125 Cl3.5 O1,1.1220206775852655
Na3O(AlCl4)0.75(CN)0.25,Na,O,AlCl4,0.75,CN,0.25,Na3 Al0.75 C0.25 N0.25 Cl3 O1,1.0840356025628475
Na3O(AlCl4)0.625(CN)0.375,Na,O,AlCl4,0.625,CN,0.375,Na3 Al0.625 C0.375 N0.375 Cl2.5 O1,1.0460505275404297
Na3O(AlCl4)0.5(CN)0.5,Na,O,AlCl4,0.5,CN,0.5,Na3 Al0.5 C0.5 N0.5 Cl2 O1,1.008065452518012
Na3O(AlCl4)0.375(CN)0.625,Na,O,AlCl4,0.375,CN,0.625,Na3 Al0.375 C0.625 N0.625 Cl1.5 O1,0.9700803774955941
Na3O(AlCl4)0.25(CN)0.75,Na,O,AlCl4,0.25,CN,0.75,Na3 Al0.25 C0.75 N0.75 Cl1 O1,0.9320953024731762
Na3O(AlCl4)0.125(CN)0.875,Na,O,AlCl4,0.125,CN,0.875,Na3 Al0.125 C0.875 N0.875 Cl0.5 O1,0.8941102274507583
Na3O(AlCl4)0.875Cl0.125,Na,O,AlCl4,0.875,Cl,0.125,Na3 Al0.875 Cl3.625 O1,1.1183682665254175
Na3O(AlCl4)0.75Cl0.25,Na,O,AlCl4,0.75,Cl,0.25,Na3 Al0.75 Cl3.25 O1,1.0767307804431518
Na3O(AlCl4)0.625Cl0.375,Na,O,AlCl4,0.625,Cl,0.375,Na3 Al0.625 Cl2.875 O1,1.0350932943608862
Na3O(AlCl4)0.5Cl0.5,Na,O,AlCl4,0.5,Cl,0.5,Na3 Al0.5 Cl2.5 O1,0.9934558082786203
Na3O(AlCl4)0.375Cl0.625,Na,O,AlCl4,0.375,Cl,0.625,Na3 Al0.375 Cl2.125 O1,0.9518183221963546
Na3O(AlCl4)0.25Cl0.75,Na,O,AlCl4,0.25,Cl,0.75,Na3 Al0.25 Cl1.75 O1,0.910180836114089
Na3O(AlCl4)0.125Cl0.875,Na,O,AlCl4,0.125,Cl,0.875,Na3 Al0.125 Cl1.375 O1,0.8685433500318233
Na3O(AlCl4)0.875(ICl4)0.125,Na,O,AlCl4,0.875,ICl4,0.125,Na3 Al0.875 I0.125 Cl4 O1,1.1461265905802613
Na3O(AlCl4)0.75(ICl4)0.25,Na,O,AlCl4,0.75,ICl4,0.25,Na3 Al0.75 I0.25 Cl4 O1,1.1322474285528394
Na3O(AlCl4)0.625(ICl4)0.375,Na,O,AlCl4,0.625,ICl4,0.375,Na3 Al0.625 I0.375 Cl4 O1,1.1183682665254175
Na3O(AlCl4)0.5(ICl4)0.5,Na,O,AlCl4,0.5,ICl4,0.5,Na3 Al0.5 I0.5 Cl4 O1,1.1044891044979956
Na3O(AlCl4)0.375(ICl4)0.625,Na,O,AlCl4,0.375,ICl4,0.625,Na3 Al0.375 I0.625 Cl4 O1,1.0906099424705737
Na3O(AlCl4)0.25(ICl4)0.75,Na,O,AlCl4,0.25,ICl4,0.75,Na3 Al0.25 I0.75 Cl4 O1,1.0767307804431518
Na3O(AlCl4)0.125(ICl4)0.875,Na,O,AlCl4,0.125,ICl4,0.875,Na3 Al0.125 I0.875 Cl4 O1,1.06285161841573
Na3O(AlCl4)0.875(AlF4)0.125,Na,O,AlCl4,0.875,AlF4,0.125,Na3 Al1 Cl3.5 O1 F0.5,1.1527009304879874
Na3O(AlCl4)0.75(AlF4)0.25,Na,O,AlCl4,0.75,AlF4,0.25,Na3 Al1 Cl3 O1 F1,1.1453961083682918
Na3O(AlCl4)0.625(AlF4)0.375,Na,O,AlCl4,0.625,AlF4,0.375,Na3 Al1 Cl2.5 O1 F1.5,1.138091286248596
Na3O(AlCl4)0.5(AlF4)0.5,Na,O,AlCl4,0.5,AlF4,0.5,Na3 Al1 Cl2 O1 F2,1.1307864641289003
Na3O(AlCl4)0.375(AlF4)0.625,Na,O,AlCl4,0.375,AlF4,0.625,Na3 Al1 Cl1.5 O1 F2.5,1.1234816420092044
Na3O(AlCl4)0.25(AlF4)0.75,Na,O,AlCl4,0.25,AlF4,0.75,Na3 Al1 Cl1 O1 F3,1.1161768198895088
Na3O(AlCl4)0.125(AlF4)0.875,Na,O,AlCl4,0.125,AlF4,0.875,Na3 Al1 Cl0.5 O1 F3.5,1.1088719977698132
Na3O(AlCl4)0.875(BH4)0.125,Na,O,AlCl4,0.875,BH4,0.125,Na3 Al0.875 B0.125 H0.5 Cl3.5 O1,1.1264035708570828
Na3O(AlCl4)0.75(BH4)0.25,Na,O,AlCl4,0.75,BH4,0.25,Na3 Al0.75 B0.25 H1 Cl3 O1,1.0928013891064825
Na3O(AlCl4)0.625(BH4)0.375,Na,O,AlCl4,0.625,BH4,0.375,Na3 Al0.625 B0.375 H1.5 Cl2.5 O1,1.059199207355882
Na3O(AlCl4)0.5(BH4)0.5,Na,O,AlCl4,0.5,BH4,0.5,Na3 Al0.5 B0.5 H2 Cl2 O1,1.0255970256052815
Na3O(AlCl4)0.375(BH4)0.625,Na,O,AlCl4,0.375,BH4,0.625,Na3 Al0.375 B0.625 H2.5 Cl1.5 O1,0.9919948438546813
Na3O(AlCl4)0.25(BH4)0.75,Na,O,AlCl4,0.25,BH4,0.75,Na3 Al0.25 B0.75 H3 Cl1 O1,0.9583926621040808
Na3O(AlCl4)0.125(BH4)0.875,Na,O,AlCl4,0.125,BH4,0.875,Na3 Al0.125 B0.875 H3.5 Cl0.5 O1,0.9247904803534804
Na3O(AlCl4)0.875(BF4)0.125,Na,O,AlCl4,0.875,BF4,0.125,Na3 Al0.875 B0.125 Cl3.5 O1 F0.5,1.1410132150964742
Na3O(AlCl4)0.75(BF4)0.25,Na,O,AlCl4,0.75,BF4,0.25,Na3 Al0.75 B0.25 Cl3 O1 F1,1.1220206775852655
Na3O(AlCl4)0.625(BF4)0.375,Na,O,AlCl4,0.625,BF4,0.375,Na3 Al0.625 B0.375 Cl2.5 O1 F1.5,1.1030281400740565
Na3O(AlCl4)0.5(BF4)0.5,Na,O,AlCl4,0.5,BF4,0.5,Na3 Al0.5 B0.5 Cl2 O1 F2,1.0840356025628475
Na3O(AlCl4)0.375(BF4)0.625,Na,O,AlCl4,0.375,BF4,0.625,Na3 Al0.375 B0.625 Cl1.5 O1 F2.5,1.0650430650516387
Na3O(AlCl4)0.25(BF4)0.75,Na,O,AlCl4,0.25,BF4,0.75,Na3 Al0.25 B0.75 Cl1 O1 F3,1.0460505275404297
Na3O(AlCl4)0.125(BF4)0.875,Na,O,AlCl4,0.125,BF4,0.875,Na3 Al0.125 B0.875 Cl0.5 O1 F3.5,1.0270579900292207
Na3O(AlCl4)0.875(AlH4)0.125,Na,O,AlCl4,0.875,AlH4,0.125,Na3 Al1 H0.5 Cl3.5 O1,1.1494137605341244
Na3O(AlCl4)0.75(AlH4)0.25,Na,O,AlCl4,0.75,AlH4,0.25,Na3 Al1 H1 Cl3 O1,1.1388217684605655
Na3O(AlCl4)0.625(AlH4)0.375,Na,O,AlCl4,0.625,AlH4,0.375,Na3 Al1 H1.5 Cl2.5 O1,1.1282297763870068
Na3O(AlCl4)0.5(AlH4)0.5,Na,O,AlCl4,0.5,AlH4,0.5,Na3 Al1 H2 Cl2 O1,1.117637784313448
Na3O(AlCl4)0.375(AlH4)0.625,Na,O,AlCl4,0.375,AlH4,0.625,Na3 Al1 H2.5 Cl1.5 O1,1.107045792239889
Na3O(AlCl4)0.25(AlH4)0.75,Na,O,AlCl4,0.25,AlH4,0.75,Na3 Al1 H3 Cl1 O1,1.0964538001663302
Na3O(AlCl4)0.125(AlH4)0.875,Na,O,AlCl4,0.125,AlH4,0.875,Na3 Al1 H3.5 Cl0.5 O1,1.0858618080927716
Na3O(AlCl4)0.875F0.125,Na,O,AlCl4,0.875,F,0.125,Na3 Al0.875 Cl3.5 O1 F0.125,1.1008366934381477
Na3O(AlCl4)0.75F0.25,Na,O,AlCl4,0.75,F,0.25,Na3 Al0.75 Cl3 O1 F0.25,1.0416676342686122
Na3O(AlCl4)0.625F0.375,Na,O,AlCl4,0.625,F,0.375,Na3 Al0.625 Cl2.5 O1 F0.375,0.9824985750990768
Na3O(AlCl4)0.5F0.5,Na,O,AlCl4,0.5,F,0.5,Na3 Al0.5 Cl2 O1 F0.5,0.9233295159295413
Na3O(AlCl4)0.375F0.625,Na,O,AlCl4,0.375,F,0.625,Na3 Al0.375 Cl1.5 O1 F0.625,0.8641604567600059
Na3O(AlCl4)0.25F0.75,Na,O,AlCl4,0.25,F,0.75,Na3 Al0.25 Cl1 O1 F0.75,0.8049913975904703
Na3O(AlCl4)0.125F0.875,Na,O,AlCl4,0.125,F,0.875,Na3 Al0.125 Cl0.5 O1 F0.875,0.7458223384209348
Na3O(AlCl4)0.875(ClO4)0.125,Na,O,AlCl4,0.875,ClO4,0.125,Na3 Al0.875 Cl3.625 O1.5,1.13991749177852
Na3O(AlCl4)0.75(ClO4)0.25,Na,O,AlCl4,0.75,ClO4,0.25,Na3 Al0.75 Cl3.25 O2,1.1198292309493567
Na3O(AlCl4)0.625(ClO4)0.375,Na,O,AlCl4,0.625,ClO4,0.375,Na3 Al0.625 Cl2.875 O2.5,1.0997409701201935
Na3O(AlCl4)0.5(ClO4)0.5,Na,O,AlCl4,0.5,ClO4,0.5,Na3 Al0.5 Cl2.5 O3,1.0796527092910302
Na3O(AlCl4)0.375(ClO4)0.625,Na,O,AlCl4,0.375,ClO4,0.625,Na3 Al0.375 Cl2.125 O3.5,1.059564448461867
Na3O(AlCl4)0.25(ClO4)0.75,Na,O,AlCl4,0.25,ClO4,0.75,Na3 Al0.25 Cl1.75 O4,1.0394761876327034
Na3O(AlCl4)0.125(ClO4)0.875,Na,O,AlCl4,0.125,ClO4,0.875,Na3 Al0.125 Cl1.375 O4.5,1.0193879268035402
Na3O(AlCl4)0.875(BCl4)0.125,Na,O,AlCl4,0.875,BCl4,0.125,Na3 Al0.875 B0.125 Cl4 O1,1.172423950211166
Na3O(AlCl4)0.75(BCl4)0.25,Na,O,AlCl4,0.75,BCl4,0.25,Na3 Al0.75 B0.25 Cl4 O1,1.1848421478146487
Na3O(AlCl4)0.625(BCl4)0.375,Na,O,AlCl4,0.625,BCl4,0.375,Na3 Al0.625 B0.375 Cl4 O1,1.1972603454181314
Na3O(AlCl4)0.5(BCl4)0.5,Na,O,AlCl4,0.5,BCl4,0.5,Na3 Al0.5 B0.5 Cl4 O1,1.2096785430216141
Na3O(AlCl4)0.375(BCl4)0.625,Na,O,AlCl4,0.375,BCl4,0.625,Na3 Al0.375 B0.625 Cl4 O1,1.222096740625097
Na3O(AlCl4)0.25(BCl4)0.75,Na,O,AlCl4,0.25,BCl4,0.75,Na3 Al0.25 B0.75 Cl4 O1,1.2345149382285798
Na3O(AlCl4)0.125(BCl4)0.875,Na,O,AlCl4,0.125,BCl4,0.875,Na3 Al0.125 B0.875 Cl4 O1,1.2469331358320626
Na3O(AlCl4)0.875Br0.125,Na,O,AlCl4,0.875,Br,0.125,Na3 Al0.875 Br0.125 Cl3.5 O1,1.1238468831151893
Na3O(AlCl4)0.75Br0.25,Na,O,AlCl4,0.75,Br,0.25,Na3 Al0.75 Br0.25 Cl3 O1,1.0876880136226954
Na3O(AlCl4)0.625Br0.375,Na,O,AlCl4,0.625,Br,0.375,Na3 Al0.625 Br0.375 Cl2.5 O1,1.0515291441302015
Na3O(AlCl4)0.5Br0.5,Na,O,AlCl4,0.5,Br,0.5,Na3 Al0.5 Br0.5 Cl2 O1,1.0153702746377076
Na3O(AlCl4)0.375Br0.625,Na,O,AlCl4,0.375,Br,0.625,Na3 Al0.375 Br0.625 Cl1.5 O1,0.9792114051452137
Na3O(AlCl4)0.25Br0.75,Na,O,AlCl4,0.25,Br,0.75,Na3 Al0.25 Br0.75 Cl1 O1,0.9430525356527198
Na3O(AlCl4)0.125Br0.875,Na,O,AlCl4,0.125,Br,0.875,Na3 Al0.125 Br0.875 Cl0.5 O1,0.9068936661602259
Na3O(AlCl4)0.875(NH2)0.125,Na,O,AlCl4,0.875,NH2,0.125,Na3 Al0.875 H0.25 N0.125 Cl3.5 O1,1.1147158554655696
Na3O(AlCl4)0.75(NH2)0.25,Na,O,AlCl4,0.75,NH2,0.25,Na3 Al0.75 H0.5 N0.25 Cl3 O1,1.069425958323456
Na3O(AlCl4)0.625(NH2)0.375,Na,O,AlCl4,0.625,NH2,0.375,Na3 Al0.625 H0.75 N0.375 Cl2.5 O1,1.0241360611813426
Na3O(AlCl4)0.5(NH2)0.5,Na,O,AlCl4,0.5,NH2,0.5,Na3 Al0.5 H1 N0.5 Cl2 O1,0.9788461640392289
Na3O(AlCl4)0.375(NH2)0.625,Na,O,AlCl4,0.375,NH2,0.625,Na3 Al0.375 H1.25 N0.625 Cl1.5 O1,0.9335562668971153
Na3O(AlCl4)0.25(NH2)0.75,Na,O,AlCl4,0.25,NH2,0.75,Na3 Al0.25 H1.5 N0.75 Cl1 O1,0.8882663697550017
Na3O(AlCl4)0.125(NH2)0.875,Na,O,AlCl4,0.125,NH2,0.875,Na3 Al0.125 H1.75 N0.875 Cl0.5 O1,0.8429764726128882
Na3OBCl4,Na,O,BCl4,1.0,,,Na3 B1 Cl4 O1,1.2593513334355453
Na3O(BCl4)0.875I0.125,Na,O,BCl4,0.875,I,0.125,Na3 B0.875 I0.125 Cl3.5 O1,1.2195400528832034
Na3O(BCl4)0.75I0.25,Na,O,BCl4,0.75,I,0.25,Na3 B0.75 I0.25 Cl3 O1,1.1797287723308618
Na3O(BCl4)0.625I0.375,Na,O,BCl4,0.625,I,0.375,Na3 B0.625 I0.375 Cl2.5 O1,1.13991749177852
Na3O(BCl4)0.5I0.5,Na,O,BCl4,0.5,I,0.5,Na3 B0.5 I0.5 Cl2 O1,1.1001062112261781
Na3O(BCl4)0.375I0.625,Na,O,BCl4,0.375,I,0.625,Na3 B0.375 I0.625 Cl1.5 O1,1.0602949306738363
Na3O(BCl4)0.25I0.75,Na,O,BCl4,0.25,I,0.75,Na3 B0.25 I0.75 Cl1 O1,1.0204836501214947
Na3O(BCl4)0.125I0.875,Na,O,BCl4,0.125,I,0.875,Na3 B0.125 I0.875 Cl0.5 O1,0.9806723695691528
Na3O(BCl4)0.875(NO2)0.125,Na,O,BCl4,0.875,NO2,0.125,Na3 B0.875 N0.125 Cl3.5 O1.25,1.2093133019156295
Na3O(BCl4)0.75(NO2)0.25,Na,O,BCl4,0.75,NO2,0.25,Na3 B0.75 N0.25 Cl3 O1.5,1.1592752703957137
Na3O(BCl4)0.625(NO2)0.375,Na,O,BCl4,0.625,NO2,0.375,Na3 B0.625 N0.375 Cl2.5 O1.75,1.1092372388757978
Na3O(BCl4)0.5(NO2)0.5,Na,O,BCl4,0.5,NO2,0.5,Na3 B0.5 N0.5 Cl2 O2,1.059199207355882
Na3O(BCl4)0.375(NO2)0.625,Na,O,BCl4,0.375,NO2,0.625,Na3 B0.375 N0.625 Cl1.5 O2.25,1.0091611758359662
Na3O(BCl4)0.25(NO2)0.75,Na,O,BCl4,0.25,NO2,0.75,Na3 B0.25 N0.75 Cl1 O2.5,0.9591231443160504
Na3O(BCl4)0.125(NO2)0.875,Na,O,BCl4,0.125,NO2,0.875,Na3 B0.125 N0.875 Cl0.5 O2.75,0.9090851127961346
Na3O(BCl4)0.875(IO4)0.125,Na,O,BCl4,0.875,IO4,0.125,Na3 B0.875 I0.125 Cl3.5 O1.5,1.2301320449567623
Na3O(BCl4)0.75(IO4)0.25,Na,O,BCl4,0.75,IO4,0.25,Na3 B0.75 I0.25 Cl3 O2,1.2009127564779793
Na3O(BCl4)0.625(IO4)0.375,Na,O,BCl4,0.625,IO4,0.375,Na3 B0.625 I0.375 Cl2.5 O2.5,1.1716934679991964
Na3O(BCl4)0.5(IO4)0.5,Na,O,BCl4,0.5,IO4,0.5,Na3 B0.5 I0.5 Cl2 O3,1.1424741795204134
Na3O(BCl4)0.375(IO4)0.625,Na,O,BCl4,0.375,IO4,0.625,Na3 B0.375 I0.625 Cl1.5 O3.5,1.1132548910416304
Na3O(BCl4)0.25(IO4)0.75,Na,O,BCl4,0.25,IO4,0.75,Na3 B0.25 I0.75 Cl1 O4,1.0840356025628475
Na3O(BCl4)0.125(IO4)0.875,Na,O,BCl4,0.125,IO4,0.875,Na3 B0.125 I0.875 Cl0.5 O4.5,1.0548163140840645
Na3O(BCl4)0.875(CN)0.125,Na,O,BCl4,0.875,CN,0.125,Na3 B0.875 C0.125 N0.125 Cl3.5 O1,1.2089480608096446
Na3O(BCl4)0.75(CN)0.25,Na,O,BCl4,0.75,CN,0.25,Na3 B0.75 C0.25 N0.25 Cl3 O1,1.158544788183744
Na3O(BCl4)0.625(CN)0.375,Na,O,BCl4,0.625,CN,0.375,Na3 B0.625 C0.375 N0.375 Cl2.5 O1,1.1081415155578436
Na3O(BCl4)0.5(CN)0.5,Na,O,BCl4,0.5,CN,0.5,Na3 B0.5 C0.5 N0.5 Cl2 O1,1.0577382429319429
Na3O(BCl4)0.375(CN)0.625,Na,O,BCl4,0.375,CN,0.625,Na3 B0.375 C0.625 N0.625 Cl1.5 O1,1.0073349703060424
Na3O(BCl4)0.25(CN)0.75,Na,O,BCl4,0.25,CN,0.75,Na3 B0.25 C0.75 N0.75 Cl1 O1,0.9569316976801417
Na3O(BCl4)0.125(CN)0.875,Na,O,BCl4,0.125,CN,0.875,Na3 B0.125 C0.875 N0.875 Cl0.5 O1,0.9065284250542411
Na3O(BCl4)0.875Cl0.125,Na,O,BCl4,0.875,Cl,0.125,Na3 B0.875 Cl3.625 O1,1.2052956497497969
Na3O(BCl4)0.75Cl0.25,Na,O,BCl4,0.75,Cl,0.25,Na3 B0.75 Cl3.25 O1,1.1512399660640484
Na3O(BCl4)0.625Cl0.375,Na,O,BCl4,0.625,Cl,0.375,Na3 B0.625 Cl2.875 O1,1.0971842823782998
Na3O(BCl4)0.5Cl0.5,Na,O,BCl4,0.5,Cl,0.5,Na3 B0.5 Cl2.5 O1,1.0431285986925514
Na3O(BCl4)0.375Cl0.625,Na,O,BCl4,0.375,Cl,0.625,Na3 B0.375 Cl2.125 O1,0.9890729150068029
Na3O(BCl4)0.25Cl0.75,Na,O,BCl4,0.25,Cl,0.75,Na3 B0.25 Cl1.75 O1,0.9350172313210545
Na3O(BCl4)0.125Cl0.875,Na,O,BCl4,0.125,Cl,0.875,Na3 B0.125 Cl1.375 O1,0.880961547635306
Na3O(BCl4)0.875(ICl4)0.125,Na,O,BCl4,0.875,ICl4,0.125,Na3 B0.875 I0.125 Cl4 O1,1.2330539738046407
Na3O(BCl4)0.75(ICl4)0.25,Na,O,BCl4,0.75,ICl4,0.25,Na3 B0.75 I0.25 Cl4 O1,1.206756614173736
Na3O(BCl4)0.625(ICl4)0.375,Na,O,BCl4,0.625,ICl4,0.375,Na3 B0.625 I0.375 Cl4 O1,1.1804592545428312
Na3O(BCl4)0.5(ICl4)0.5,Na,O,BCl4,0.5,ICl4,0.5,Na3 B0.5 I0.5 Cl4 O1,1.1541618949119266
Na3O(BCl4)0.375(ICl4)0.625,Na,O,BCl4,0.375,ICl4,0.625,Na3 B0.375 I0.625 Cl4 O1,1.127864535281022
Na3O(BCl4)0.25(ICl4)0.75,Na,O,BCl4,0.25,ICl4,0.75,Na3 B0.25 I0.75 Cl4 O1,1.1015671756501173
Na3O(BCl4)0.125(ICl4)0.875,Na,O,BCl4,0.125,ICl4,0.875,Na3 B0.125 I0.875 Cl4 O1,1.0752698160192127
Na3O(BCl4)0.875(BH4)0.125,Na,O,BCl4,0.875,BH4,0.125,Na3 B1 H0.5 Cl3.5 O1,1.213330954081462
Na3O(BCl4)0.75(BH4)0.25,Na,O,BCl4,0.75,BH4,0.25,Na3 B1 H1 Cl3 O1,1.1673105747273789
Na3O(BCl4)0.625(BH4)0.375,Na,O,BCl4,0.625,BH4,0.375,Na3 B1 H1.5 Cl2.5 O1,1.1212901953732959
Na3O(BCl4)0.5(BH4)0.5,Na,O,BCl4,0.5,BH4,0.5,Na3 B1 H2 Cl2 O1,1.0752698160192127
Na3O(BCl4)0.375(BH4)0.625,Na,O,BCl4,0.375,BH4,0.625,Na3 B1 H2.5 Cl1.5 O1,1.0292494366651295
Na3O(BCl4)0.25(BH4)0.75,Na,O,BCl4,0.25,BH4,0.75,Na3 B1 H3 Cl1 O1,0.9832290573110464
Na3O(BCl4)0.125(BH4)0.875,Na,O,BCl4,0.125,BH4,0.875,Na3 B1 H3.5 Cl0.5 O1,0.9372086779569632
Na3O(BCl4)0.875(BF4)0.125,Na,O,BCl4,0.875,BF4,0.125,Na3 B1 Cl3.5 O1 F0.5,1.2279405983208536
Na3O(BCl4)0.75(BF4)0.25,Na,O,BCl4,0.75,BF4,0.25,Na3 B1 Cl3 O1 F1,1.1965298632061618
Na3O(BCl4)0.625(BF4)0.375,Na,O,BCl4,0.625,BF4,0.375,Na3 B1 Cl2.5 O1 F1.5,1.1651191280914703
Na3O(BCl4)0.5(BF4)0.5,Na,O,BCl4,0.5,BF4,0.5,Na3 B1 Cl2 O1 F2,1.1337083929767786
Na3O(BCl4)0.375(BF4)0.625,Na,O,BCl4,0.375,BF4,0.625,Na3 B1 Cl1.5 O1 F2.5,1.1022976578620869
Na3O(BCl4)0.25(BF4)0.75,Na,O,BCl4,0.25,BF4,0.75,Na3 B1 Cl1 O1 F3,1.0708869227473952
Na3O(BCl4)0.125(BF4)0.875,Na,O,BCl4,0.125,BF4,0.875,Na3 B1 Cl0.5 O1 F3.5,1.0394761876327034
Na3O(BCl4)0.875F0.125,Na,O,BCl4,0.875,F,0.125,Na3 B0.875 Cl3.5 O1 F0.125,1.187764076662527
Na3O(BCl4)0.75F0.25,Na,O,BCl4,0.75,F,0.25,Na3 B0.75 Cl3 O1 F0.25,1.1161768198895088
Na3O(BCl4)0.625F0.375,Na,O,BCl4,0.625,F,0.375,Na3 B0.625 Cl2.5 O1 F0.375,1.0445895631164905
Na3O(BCl4)0.5F0.5,Na,O,BCl4,0.5,F,0.5,Na3 B0.5 Cl2 O1 F0.5,0.9730023063434723
Na3O(BCl4)0.375F0.625,Na,O,BCl4,0.375,F,0.625,Na3 B0.375 Cl1.5 O1 F0.625,0.901415049570454
Na3O(BCl4)0.25F0.75,Na,O,BCl4,0.25,F,0.75,Na3 B0.25 Cl1 O1 F0.75,0.8298277927974359
Na3O(BCl4)0.125F0.875,Na,O,BCl4,0.125,F,0.875,Na3 B0.125 Cl0.5 O1 F0.875,0.7582405360244177
Na3O(BCl4)0.875(ClO4)0.125,Na,O,BCl4,0.875,ClO4,0.125,Na3 B0.875 Cl3.625 O1.5,1.2268448750028993
Na3O(BCl4)0.75(ClO4)0.25,Na,O,BCl4,0.75,ClO4,0.25,Na3 B0.75 Cl3.25 O2,1.194338416570253
Na3O(BCl4)0.625(ClO4)0.375,Na,O,BCl4,0.625,ClO4,0.375,Na3 B0.625 Cl2.875 O2.5,1.161831958137607
Na3O(BCl4)0.5(ClO4)0.5,Na,O,BCl4,0.5,ClO4,0.5,Na3 B0.5 Cl2.5 O3,1.129325499704961
