material_id,composition,E_g
mp-561000,Cs4 K1 Li1 Fe2 F12,0.0
mp-758304,Li2 Co4 P6 O24,0.0
mp-26925,Li2 Co2 P8 O24,1.1502
mp-1233000,Rb4 Li1 Se4 O14,0.5773
mp-758661,Li2 Fe6 O2 F10,2.5003
mp-1095638,Li4 Mg4 Ir4,0.0
mp-1211041,Li4 Y4 F8,0.0
mp-1222326,Li2 Mg2 Co2 F12,2.4806
mp-867255,Li1 Zn2 Au1,0.0
mp-757383,Li8 Si8 Bi8 O32,3.0935
mp-765277,Li12 Sn12 P12 O48,3.0368000000000004
mp-888867,Li16 Ti16 O32,0.0
mp-1235023,Li1 Zn2 Fe4 O8,1.2061000000000002
mp-770759,Li2 Bi2 C2 S2 O14,3.3523
mp-752586,Li4 Mn4 F16,0.9085
mp-863392,Li4 Fe4 Si24 O56,2.3794000000000004
mp-762274,Li4 Cu16 P12 O48,0.0
mp-777655,Li4 Mn4 F12,2.9856000000000003
mp-1185420,Li1 Ru1 O3,0.0
mp-1079483,Li1 Au1 F6,1.8673
mp-1210965,Li4 Y4 F8,0.0
mp-758274,Li2 Fe8 B8 O24,1.1147
mp-1095962,Li1 Ag2 Bi1,0.4336000000000002
mp-29892,Li2 Sb6 O16,0.9743999999999992
mp-1235902,Cs7 Li1 Au5 O2,0.0
mp-779335,Li6 Mn12 B12 O36,0.1896999999999999
mp-755254,Li1 Fe2 Cl2 O2,0.8026999999999997
mp-766179,Li4 Si12 Bi4 O32,3.2572
mp-1235342,Li1 Fe1 Pb1 O3,1.2713
mp-557403,Li2 Fe4 F12,1.7058
mp-1176557,Li2 V8 O2 F22,0.0
mp-1235509,Li1 Zn1 Sb4 O8,0.0
mp-1192813,Li4 Ti8 O16,0.0
mp-754539,Li2 V2 Si2 O10,2.0428
mp-849737,Li2 V8 O2 F22,0.2133
mp-767727,Li4 Mn8 O4 F20,0.0
mp-1097399,Li1 In1 Hg2,0.0
mp-857354,Li1 Sn3 Sb1 P6 O24,2.2990000000000004
mp-1185374,Li1 Mg1 Pb2,0.0
mp-754131,Li2 Ni2 P2 H2 O10,0.0061999999999999
mp-1040127,Na1 Li1 Mg30 O31,2.3763
mp-1222343,Li1 Zn1 Fe1 O3,1.7135999999999996
mp-774863,Li1 Ni9 S10,0.0
mp-765594,Li8 Fe8 P8 O32,3.1340000000000003
mp-25963,Li2 Fe2 P8 O24,0.0
mp-757925,Li4 Ni8 C8 O32,0.0
