material_id,formula_pretty,composition,E_f,E_g
mp-758741,Li(FeP)2,Li1 Fe2 P2,-0.6040087645238088,0.0
mp-12815,Na2LiAu3,Na4 Li2 Au6,-0.4698748994444439,0.0
mp-1096680,LiCaHg2,Li1 Ca1 Hg2,0.6474635979166634,0.0
mp-759930,LiVCr(P2O7)2,Li4 V4 Cr4 P16 O56,-2.6385633777097506,1.2349
mp-849617,LiFe2(BO3)2,Li4 Fe8 B8 O24,-2.2653608271969685,1.3834999999999997
mp-758455,LiP3W2O13,Li4 P12 W8 O52,-2.47398946459273,2.9335
mp-772973,LiP5WO15,Li4 P20 W4 O60,-2.514256321320346,2.8415
mp-1290585,LiVOF2,Li4 V4 O4 F8,-2.9632200271666678,1.9785000000000001
mp-1013922,LiCr2P2O9,Li4 Cr8 P8 O36,-2.514986746258503,0.6364999999999998
mp-861623,LiNi4(PO4)3,Li2 Ni8 P6 O24,-2.1495015773630954,2.1833
mp-757353,LiV(PO3)4,Li2 V2 P8 O24,-2.5990428698280414,2.2558
mp-758054,LiAgF4,Li2 Ag2 F8,-1.8400621244444555,0.9010000000000002
mp-569001,Sr2LiCoN2,Sr4 Li2 Co2 N4,-0.6392239022222229,0.25390000000000024
mp-1003549,LiMn16O32,Li1 Mn16 O32,-1.8337334881679574,0.0
mp-761277,LiFe2(BO3)2,Li4 Fe8 B8 O24,-2.2625898649242417,1.6772999999999998
mp-1222280,LiInSn,Li1 In1 Sn1,-0.20924103833333163,0.20199999999999996
mp-759316,LiMn2O3F,Li2 Mn4 O6 F2,-2.2933646563136287,0.0
mp-1211020,LiGa(PO3)4,Li4 Ga4 P16 O48,-2.6150229659391524,5.0646
mp-1095705,LiMg30TiO32,Li1 Mg30 Ti1 O32,-3.019759827604166,0.4660000000000002
mp-757642,LiMnPO4,Li12 Mn12 P12 O48,-2.5709262146534124,2.9955
mp-757019,LiFePO4,Li4 Fe4 P4 O16,-2.421549552210884,3.4349000000000003
mp-1045397,Li(NiS2)2,Li2 Ni4 S8,-0.7397726340476193,0.0
mp-12564,LiSbAu,Li1 Sb1 Au1,-0.38885790839646006,0.0
mp-867206,LiCd2Pt,Li1 Cd2 Pt1,-0.40939557083333167,0.0
mp-25407,LiFePO4F,Li2 Fe2 P2 O8 F2,-2.5477754038095233,1.9307
mp-1222487,LiLa8Cu3O16,Li1 La8 Cu3 O16,-3.070262065119048,0.2145999999999999
mp-758686,LiMn3Al2(HO2)6,Li2 Mn6 Al4 H12 O24,-2.0286619058177675,0.5019
mp-585189,LiMn4(PO4)3,Li2 Mn8 P6 O24,-2.5267762334493016,3.0534000000000003
mp-776524,LiFeF3,Li14 Fe14 F42,-2.7447107400238093,2.624
mp-861900,LiGaAu2,Li1 Ga1 Au2,-0.443066271666666,0.0
mp-757405,LiCoPO4,Li4 Co4 P4 O16,-2.314603180068027,2.8316
mp-26627,LiMoP2O7,Li4 Mo4 P8 O28,-2.5432801679653676,3.9008
mp-1298961,LiLa4CoO8,Li4 La16 Co4 O32,-3.224409947916667,1.5333000000000006
mp-32465,LiV(PO4)2,Li4 V4 P8 O32,-2.54863294063492,1.9609999999999999
mp-774925,RbLiMn3O4,Rb3 Li3 Mn9 O12,-1.8680396612547892,0.6859999999999999
mp-1222412,LiB3,Li2 B6,-0.16166783729166756,0.1282000000000001
mp-1078209,LiLa2FeO6,Li2 La4 Fe2 O12,-2.759343128333332,0.7546999999999997
mp-782655,LiFeP(H6O5)2,Li2 Fe2 P2 H24 O20,-1.5725770835190473,3.6405
mp-865936,LiSc2Tc,Li1 Sc2 Tc1,-0.12281797708333375,0.0
mp-1176686,LiMnPO4,Li8 Mn8 P8 O32,-2.5365100456653167,2.5077999999999996
mp-767248,LiFeSiO4,Li6 Fe6 Si6 O24,-2.486077799523809,2.3548999999999998
mp-768074,LiTaWO6,Li4 Ta4 W4 O24,-2.6573804775740735,3.2939
mp-753697,LiFeBO3,Li4 Fe4 B4 O12,-2.2803701070833333,2.9124000000000003
mp-756752,LiMnBO3,Li6 Mn6 B6 O18,-2.462553499099618,1.9726
mp-759040,LiMn2(PO3)5,Li2 Mn4 P10 O30,-2.5651955595612903,4.1771
mp-12525,Sr2LiReO6,Sr2 Li1 Re1 O6,-2.735979058083333,1.5935000000000001
mp-26715,LiCoP2O7,Li4 Co4 P8 O28,-2.331204393874458,0.0
mp-1001786,LiScS2,Li1 Sc1 S2,-2.011990884322916,1.4856999999999996
mp-690493,LiMoO2,Li4 Mo4 O8,-1.9334302414583338,1.8222999999999994
mp-13444,LiSn,Li6 Sn6,-0.32568567249999997,0.0
mp-1178393,CsLiO,Cs4 Li4 O4,-1.5640558284961692,2.3971999999999998
mp-32523,LiV(PO3)4,Li2 V2 P8 O24,-2.649047464828041,2.2173000000000003
mp-1193954,LiH6IO7,Li2 H12 I2 O14,-1.2172807965555554,2.3600000000000003
mp-1192681,LiTcH6O7,Li2 Tc2 H12 O14,-1.5903743798888883,3.4433999999999996
mp-1205878,LiLuGe,Li3 Lu3 Ge3,-0.6907833972222208,0.0
mp-561474,K3LiSiO4,K24 Li8 Si8 O32,-2.4290781825092598,4.173
mp-760242,LiVOF4,Li2 V2 O2 F8,-2.8274813836904764,2.1252
mp-1176639,LiMnF4,Li8 Mn8 F32,-2.9342943681273943,0.0
mp-606711,Cs3LiCl4,Cs3 Li1 Cl4,-2.088148533333337,4.6835
mp-1236059,LiMn2Fe2(PO4)4,Li1 Mn2 Fe2 P4 O16,-2.3977751199106727,0.4716999999999998
mp-753299,LiAgF2,Li4 Ag4 F8,-2.061881068541666,1.2702
mp-1203440,LiZnSO4F,Li4 Zn4 S4 O16 F4,-2.1989997763541664,4.2073
mp-1235298,LiPr2Pa2O8,Li1 Pr2 Pa2 O8,-3.6692896351282034,0.0
mp-1290531,LiV5O7F,Li2 V10 O14 F2,-2.5034692605952378,0.8420999999999994
mp-18189,LiTmSn,Li8 Tm8 Sn8,-0.6214343727777786,0.0
mp-1374032,LiCrSi3O8,Li2 Cr2 Si6 O16,1.3070639605128207,0.0
mp-766542,LiFeSiO4,Li4 Fe4 Si4 O16,-2.494120186547619,2.8705
mp-777339,LiV3OF11,Li2 V6 O2 F22,-2.956050478020833,0.0022999999999999687
mp-1211097,LiFe,Li2 Fe2,0.27958471333333357,0.0
mp-753253,LiMn2F7,Li2 Mn4 F14,-2.80097238366954,1.2902
mp-5048,LiGaTe2,Li2 Ga2 Te4,-0.8397108085416658,1.5885000000000002
mp-1407369,LiCuS,Li4 Cu4 S4,-0.8644688868749988,1.5952000000000002
mp-778044,LiVF4,Li2 V2 F8,-3.167245638055556,2.6597
mp-1176576,LiTiCoO4,Li2 Ti2 Co2 O8,-2.4367647995238095,0.629
mp-1235034,K2LiNd4Nb2O12,K2 Li1 Nd4 Nb2 O12,-3.1773498832301574,0.0
mp-763489,LiVPO4,Li2 V2 P2 O8,-2.5567346618537417,2.6635
mp-1111112,K2LiGaF6,K2 Li1 Ga1 F6,-3.106038852033333,6.1271
mp-1235830,LiAl4Cd2O8,Li1 Al4 Cd2 O8,-2.529267841555554,0.0
mp-1236476,BaSrLiNdTlCu2O7,Ba1 Sr1 Li1 Nd1 Tl1 Cu2 O7,-2.0644709197619053,0.0
mp-867119,LiHfPd2,Li1 Hf1 Pd2,-0.6229481716666676,0.0
mp-770641,LiMn7O12,Li4 Mn28 O48,-1.9491730203175273,0.0
mp-1180520,LiS,Li4 S4,-0.9900222635677087,0.4295
mp-1222355,LiNdO2,Li4 Nd4 O8,-3.126078792083333,3.6550000000000002
mp-1080020,LiMoO2,Li2 Mo2 O4,-1.800664164583334,0.0
mp-862555,LiY2Al,Li1 Y2 Al1,-0.26196093166666756,0.0
mp-753068,LiFe2OF5,Li2 Fe4 O2 F10,-2.4922402131481483,1.733
mp-1079181,LiOsF6,Li1 Os1 F6,-2.3014614902083323,1.2041
mp-757185,LiMnPO4,Li4 Mn4 P4 O16,-2.575343929058175,3.061
mp-1097959,LiEu4(BN2)3,Li1 Eu4 B3 N6,-1.2496411350595256,0.0
mp-1111865,Cs2LiBiBr6,Cs2 Li1 Bi1 Br6,-1.7411065512643682,2.9154
mp-1235043,Ba2LiSmCoCu2O7,Ba2 Li1 Sm1 Co1 Cu2 O7,-2.107158619345238,0.0
mp-1176749,LiFe2(PO4)2,Li2 Fe4 P4 O16,-2.38051887481685,1.4384000000000001
mp-1235314,Ba3LiTi3O8,Ba3 Li1 Ti3 O8,-3.0271903975555547,0.01920000000000055
mp-1176710,LiMnP2O7,Li8 Mn8 P16 O56,-2.4988804520954617,0.6116999999999999
mp-569282,LiCa10MgSb9,Li4 Ca40 Mg4 Sb36,-1.0488384480158726,0.9226000000000001
mp-1114241,Na2LiCrF6,Na2 Li1 Cr1 F6,-3.0483200341091954,4.323
mp-1185380,LiMg,Li2 Mg2,-0.05221287333333313,0.0
mp-1218822,Sr2LiB10H3O19,Sr4 Li2 B20 H6 O38,-2.7673307288928846,5.3061
mp-857360,LiMnPO4,Li4 Mn4 P4 O16,-2.5776352408438887,3.6048
mp-774381,LiFe4(BO3)4,Li1 Fe4 B4 O12,-2.231403243809523,1.7777999999999998
mp-1235984,BaLiAl3P2(HO7)2,Ba1 Li1 Al3 P2 H2 O14,-2.5785606721790884,3.0738000000000003
mp-1235687,Sr4LiSm2Ta2O12,Sr4 Li1 Sm2 Ta2 O12,-3.287684323238095,0.0
mp-1235929,LiMn6(OF2)4,Li1 Mn6 O4 F8,-2.5013989405747123,0.3689
mp-759066,LiAgF3,Li2 Ag2 F6,-2.0040620543333345,0.0
mp-1211000,LiSm(WO4)2,Li2 Sm2 W4 O16,-2.6376915998611117,3.7576
mp-604430,LiAlSiH2O5,Li4 Al4 Si4 H8 O20,-2.485566238083334,4.361000000000001
mp-758199,LiCoSiO4,Li4 Co4 Si4 O16,-2.2372149854761907,0.6699000000000002
mp-1176638,LiMnF4,Li2 Mn2 F8,-2.9109994127107277,1.9577
mp-1367343,LiTi2O4,Li4 Ti8 O16,-3.1996473675,0.0
mp-15797,LiErSe2,Li1 Er1 Se2,-1.9578455220312492,1.6151
mp-757837,LiCoPO4,Li4 Co4 P4 O16,-2.3329976482823125,2.4443
mp-1305214,LiCr(CoO3)2,Li2 Cr2 Co4 O12,-1.5876126938333328,0.5005999999999999
mp-777862,LiMnF4,Li12 Mn12 F48,-2.872071969516284,1.0038
mp-1110668,Rb2LiMoCl6,Rb2 Li1 Mo1 Cl6,-1.8719025948333337,1.5379999999999998
mp-1185336,LiGe3,Li1 Ge3,0.005574185416666655,0.0
mp-1104352,LiZnIO4,Li2 Zn2 I2 O8,-1.4103005419047616,2.8646000000000003
mp-763878,LiMn2O2F3,Li2 Mn4 O4 F6,-2.516627582086925,0.0
mp-1235287,Ba2LiMn2(P2O7)2,Ba2 Li1 Mn2 P4 O14,-2.746939852728992,0.0
mp-1235542,LiFe6(OF2)4,Li1 Fe6 O4 F8,-2.21382565491228,1.7032
mp-768477,LiMn2(PO4)2,Li6 Mn12 P12 O48,-2.5145548157805977,0.0
mp-1211991,K2LiS2,K2 Li1 S2,-0.13875605662500162,0.0
mp-1185373,LiLu2Co,Li1 Lu2 Co1,-0.13667632166666888,0.0
mp-25961,LiFe(PO3)4,Li2 Fe2 P8 O24,-2.502106014828042,2.6929
mp-1079418,LiH2N,Li2 H4 N2,-0.5582496989583339,3.8939
mp-1035550,LiCeMg14O16,Li1 Ce1 Mg14 O16,-2.956208024791666,0.0
mp-975990,NaLiO3,Na1 Li1 O3,-0.7324126574425278,0.0
mp-18037,LiNbZnO4,Li4 Nb4 Zn4 O16,-2.5772695294047616,2.9004
mp-1172916,LiMnPO4,Li12 Mn12 P12 O48,-2.587985477153412,2.8914
mp-775304,Na9LiFe10(SiO3)20,Na9 Li1 Fe10 Si20 O60,-2.726507094457471,2.7449000000000003
mp-753639,LiTiPCO7,Li2 Ti2 P2 C2 O14,-2.656366645119046,2.5607
mp-759570,LiV5F11,Li4 V20 F44,-2.9429255735784317,2.2479999999999998
mp-757275,LiMnF3,Li8 Mn8 F24,-2.9711422050028746,3.4187000000000003
mp-758497,LiCuPO4,Li4 Cu4 P4 O16,-2.156752910068026,0.32250000000000023
mp-763429,LiFe(CoO3)2,Li1 Fe1 Co2 O6,-1.414839884833333,0.0
